"Data compiled by Iraq Body Count as of 6 Mar 2012"
"The reports from which this data is derived have all been in the public domain."
"This derivation is copyrighted to Iraq Body Count (IBC)."
"Permission to use it for commercial use must be obtained from admin AT iraqbodycount.org"
"For a detailed explanation of IBC figures and how they are derived, see"
"http://www.iraqbodycount.org/about/"

Maximum recorded killed from 2003 to 2011 by month
"dataset 1: any perpetrators, in Iraq, any weapons, killing 1 or more"

"Period Starting","dataset 1"
"Jan 2003",3
"Feb 2003",2
"Mar 2003",3977
"Apr 2003",3437
"May 2003",545
"Jun 2003",595
"Jul 2003",649
"Aug 2003",793
"Sep 2003",557
"Oct 2003",518
"Nov 2003",483
"Dec 2003",528
"Jan 2004",589
"Feb 2004",639
"Mar 2004",975
"Apr 2004",1298
"May 2004",657
"Jun 2004",866
"Jul 2004",799
"Aug 2004",843
"Sep 2004",980
"Oct 2004",972
"Nov 2004",1582
"Dec 2004",977
"Jan 2005",1090
"Feb 2005",1254
"Mar 2005",835
"Apr 2005",1069
"May 2005",1293
"Jun 2005",1256
"Jul 2005",1495
"Aug 2005",2235
"Sep 2005",1381
"Oct 2005",1247
"Nov 2005",1416
"Dec 2005",1111
"Jan 2006",1521
"Feb 2006",1515
"Mar 2006",1845
"Apr 2006",1714
"May 2006",2166
"Jun 2006",2465
"Jul 2006",3205
"Aug 2006",2790
"Sep 2006",2465
"Oct 2006",2945
"Nov 2006",3019
"Dec 2006",2743
"Jan 2007",2882
"Feb 2007",2583
"Mar 2007",2673
"Apr 2007",2480
"May 2007",2791
"Jun 2007",2149
"Jul 2007",2616
"Aug 2007",2384
"Sep 2007",1273
"Oct 2007",1216
"Nov 2007",1082
"Dec 2007",934
"Jan 2008",763
"Feb 2008",1021
"Mar 2008",1565
"Apr 2008",1273
"May 2008",783
"Jun 2008",689
"Jul 2008",599
"Aug 2008",605
"Sep 2008",545
"Oct 2008",526
"Nov 2008",486
"Dec 2008",529
"Jan 2009",280
"Feb 2009",349
"Mar 2009",416
"Apr 2009",494
"May 2009",329
"Jun 2009",492
"Jul 2009",396
"Aug 2009",586
"Sep 2009",301
"Oct 2009",404
"Nov 2009",209
"Dec 2009",457
"Jan 2010",260
"Feb 2010",297
"Mar 2010",334
"Apr 2010",380
"May 2010",377
"Jun 2010",375
"Jul 2010",424
"Aug 2010",516
"Sep 2010",252
"Oct 2010",311
"Nov 2010",302
"Dec 2010",217
"Jan 2011",387
"Feb 2011",250
"Mar 2011",307
"Apr 2011",285
"May 2011",378
"Jun 2011",385
"Jul 2011",305
"Aug 2011",398
"Sep 2011",394
"Oct 2011",355
"Nov 2011",272
"Dec 2011",371
