"IBC.code","Start.Date","End.Date","Reported.Minimum","Reported.Maximum","Province"
"k18488","20 Feb 2012","20 Feb 2012",1,1,"Nineveh"
"k18489","20 Feb 2012","20 Feb 2012",1,1,"Anbar"
"k18482","19 Feb 2012","19 Feb 2012",2,2,"Baghdad"
"k18483","19 Feb 2012","19 Feb 2012",3,3,"Diyala"
"k18484","19 Feb 2012","19 Feb 2012",4,4,"Diyala"
"k18485","19 Feb 2012","19 Feb 2012",15,19,"Baghdad"
"k18486","19 Feb 2012","19 Feb 2012",1,1,"Diyala"
"k18480","17 Feb 2012","18 Feb 2012",1,1,"Baghdad"
"k18481","18 Feb 2012","18 Feb 2012",1,1,"Salah ad Din"
"k18474","17 Feb 2012","17 Feb 2012",2,2,"Baghdad"
"k18475","17 Feb 2012","17 Feb 2012",1,1,"Kirkuk"
"k18476","17 Feb 2012","17 Feb 2012",1,1,"Nineveh"
"k18477","17 Feb 2012","17 Feb 2012",1,1,"Diyala"
"k18478","17 Feb 2012","17 Feb 2012",2,2,NA
"k18479","10 Feb 2012","17 Feb 2012",1,1,"Kirkuk"
"k18471","16 Feb 2012","16 Feb 2012",3,3,"Nineveh"
"k18472","16 Feb 2012","16 Feb 2012",1,1,"Diyala"
"k18464","15 Feb 2012","15 Feb 2012",3,3,"Nineveh"
"k18465","15 Feb 2012","15 Feb 2012",1,1,"Anbar"
"k18466","15 Feb 2012","15 Feb 2012",2,2,"Baghdad"
"k18467","15 Feb 2012","15 Feb 2012",1,1,"Nineveh"
"k18468","15 Feb 2012","15 Feb 2012",1,1,"Nineveh"
"k18469","15 Feb 2012","15 Feb 2012",1,1,"Anbar"
"k18470","15 Feb 2012","15 Feb 2012",3,3,"Babil"
"k18461","14 Feb 2012","14 Feb 2012",1,1,"Baghdad"
"k18462","14 Feb 2012","14 Feb 2012",3,3,"Nineveh"
"k18463","14 Feb 2012","14 Feb 2012",1,1,"Nineveh"
"k18457","13 Feb 2012","13 Feb 2012",1,1,"Nineveh"
"k18458","13 Feb 2012","13 Feb 2012",3,3,"Anbar"
"k18460","13 Feb 2012","13 Feb 2012",1,1,"Diyala"
"k18453","12 Feb 2012","12 Feb 2012",2,2,"Anbar"
"k18454","12 Feb 2012","12 Feb 2012",1,1,"Wasit"
"k18455","12 Feb 2012","12 Feb 2012",2,2,"Salah ad Din"
"k18456","12 Feb 2012","12 Feb 2012",1,1,NA
"k18444","10 Feb 2012","11 Feb 2012",1,1,"Diyala"
"k18448","11 Feb 2012","11 Feb 2012",1,1,"Kirkuk"
"k18447","11 Feb 2012","11 Feb 2012",1,2,"Anbar"
"k18446","11 Feb 2012","11 Feb 2012",0,2,"Basra"
"k18451","11 Feb 2012","11 Feb 2012",1,1,"Baghdad"
"k18452","11 Feb 2012","11 Feb 2012",4,4,"Anbar"
"k18445","10 Feb 2012","10 Feb 2012",1,1,"Anbar"
"k18439","9 Feb 2012","9 Feb 2012",1,1,"Kirkuk"
"k18440","9 Feb 2012","9 Feb 2012",1,1,"Nineveh"
"k18441","9 Feb 2012","9 Feb 2012",1,1,"Qadisiyyah"
"k18442","9 Feb 2012","9 Feb 2012",0,1,"Sulaymaniyah"
