"Data compiled by Iraq Body Count as of Tuesday, 6th March 2012"
"The reports from which this table is compiled have all been in the public domain."
"This specific compilation is copyrighted to Iraq Body Count (IBC)."
"Permission to use it for commercial use must be obtained from admin AT iraqbodycount.org"
""
"For a detailed explanation of these figures and how they were derived, see"
"http://www.iraqbodycount.org/about/"
""
"This table is constantly being updated. The latest version of this file can always be"
"obtained from http://www.iraqbodycount.org/database/download/ibc-incidents.php"

"IBC code","Start Date","End Date","Time","Location","Target","Weapons","Reported Minimum","Reported Maximum","Sources"
"k18488","20 Feb 2012","20 Feb 2012","-","al-Yarmuk, w. Mosul","off-duty policeman","drive-by shooting","1","1","AKnews 21 Feb"
"k18489","20 Feb 2012","20 Feb 2012","-","central Qaem","petrol station manager killed","roadside bomb","1","1","AKnews 21 Feb"
"k18482","19 Feb 2012","19 Feb 2012","-","Sadr City, Baghdad","bodies of man and woman found shot","gunfire","2","2","AFP 19 Feb"
"k18483","19 Feb 2012","19 Feb 2012","-","Abu Khamis, Buhriz","checkpoint manned by police and Awakening Council members","drive-by shooting","3","3","AFP 19 Feb, NINA 19 Feb"
"k18484","19 Feb 2012","19 Feb 2012","7:30 AM","Muallimin, central Baquba","house, women killed","gunfire","4","4","AKnews 19 Feb, CNN 19 Feb"
"k18485","19 Feb 2012","19 Feb 2012","1:00 PM","Police Academy, Palestine Street, Baghdad","police and recruits leaving Police Academy","suicide car bomb","15","19","XIN 19 Feb, VOI 19 ~Feb, AP 19 Feb, REU 19 Feb"
"k18486","19 Feb 2012","19 Feb 2012","PM","Jalawla","Wadi al-Kurwi, former civil defence officer in car","magnetic bomb attached to car","1","1","NINA 19 Feb, REU 20 Feb"
"k18480","17 Feb 2012","18 Feb 2012","-","al-Dorra, south Baghdad","civilian car, driver killed","magnetic bomb attached to car","1","1","PUKM 18 Feb"
"k18481","18 Feb 2012","18 Feb 2012","-","Ashaki, near Balad","police patrol","roadside bomb","1","1","NINA 18 Feb"
"k18474","17 Feb 2012","17 Feb 2012","-","Doura, south Baghdad","police foot patrol","drive-by shooting","2","2","REU 17 Feb"
"k18475","17 Feb 2012","17 Feb 2012","-","Altun-Kupri, 35 km northwest of Kirkuk","body of man in his 20s found shot in river","gunfire","1","1","REU 17 Feb"
"k18476","17 Feb 2012","17 Feb 2012","-","Arbeji, east Mosul","man near home","gunfire","1","1","NINA 17 Feb"
"k18477","17 Feb 2012","17 Feb 2012","-","Khalis","off-duty policeman in home","gunfire","1","1","REU 17 Feb, NINA 17 Feb"
"k18478","17 Feb 2012","17 Feb 2012","-","between al-Bu Khadu and al-Dur.","Rafaat Farhan, police station chief and driver","drive-by shooting","2","2","AKnews 16 Feb, REU 16 Feb"
"k18479","10 Feb 2012","17 Feb 2012","-","Pirde Lake near Chama Zard, Kirkuk","body of man found shot, probably killed inTaqtaq, near Sulaimaniya","gunfire","1","1","AKnews 17 Feb"
"k18471","16 Feb 2012","16 Feb 2012","-","Dawwasa, central Mosul","police convoy","roadside bomb","3","3","AKnews 16 Feb"
"k18472","16 Feb 2012","16 Feb 2012","-","Gatoon, west Baquba","mobile phone shop owner","roadside bomb","1","1","REU 16 Feb, NINA 16 Feb"
"k18464","15 Feb 2012","15 Feb 2012","PM","Jisir al-Khamis, west Mosul","police patrol","gunfire","3","3","AKnews 15 Feb"
"k18465","15 Feb 2012","15 Feb 2012","-","al-Bubali Island, east of Ramadi","home of policeman, son killed","rifles, hand grenades","1","1","AKnews 15 Feb"
"k18466","15 Feb 2012","15 Feb 2012","-","Jobor, south Baghdad","-","drive-by shooting","2","2","AKnews 15 Feb"
"k18467","15 Feb 2012","15 Feb 2012","-","south Mosul","police patrol, civilian killed","roadside bomb","1","1","VOI 15 Feb"
"k18468","15 Feb 2012","15 Feb 2012","-","Tahreer, east Mosul","policeman near home","machineguns","1","1","NINA 15 Feb"
"k18469","15 Feb 2012","15 Feb 2012","AM","Moalemin, central Ramadi","policeman's home","bombs round house","1","1","AKnews 15 Feb, NINA 15 Feb"
"k18470","15 Feb 2012","15 Feb 2012","AM","Jurf al-Sakhar","policeman's home, wife and daughters killed","gunfire","3","3","REU 15 Feb, AP 15 Feb"
"k18461","14 Feb 2012","14 Feb 2012","10:00 AM","Mashtal, east Baghdad","police patrol, bystander killed","roadside bomb","1","1","REU 14 Feb, AP 14 Feb"
"k18462","14 Feb 2012","14 Feb 2012","-","al-Harmat, w. Mosul","police convoy","roadside bomb","3","3","AKnews 14 Feb"
"k18463","14 Feb 2012","14 Feb 2012","12:30 PM","near Mosul University, east Mosul","army checkpoint near restaurant in market, civilian killed","car bomb","1","1","AFP 15 Feb, VOI 14 Feb"
"k18457","13 Feb 2012","13 Feb 2012","-","Kebbeh, west Mosul","house hit, woman killed","mortar shell","1","1","NINA 13 Feb"
"k18458","13 Feb 2012","13 Feb 2012","-","between Karma and Falluja","Colonel Saad al-Shammari, 'Commander of the Anbar Isnad Council Forces'","drive-by shooting","3","3","AKnews 13 Feb, VOI 13 Feb"
"k18460","13 Feb 2012","13 Feb 2012","-","near Sadiya","body of woman found strangled","strangled","1","1","REU 14 Feb, AKnews 14 Feb"
"k18453","12 Feb 2012","12 Feb 2012","-","40th Street, Falluja","civilian car","magnetic bomb attached to car","2","2","AKnews 12 Feb"
"k18454","12 Feb 2012","12 Feb 2012","-","north Kut","Qasem Alwan, fish seller","body of fish seller found stabbed","1","1","AKnews 12 Feb"
"k18455","12 Feb 2012","12 Feb 2012","-","al-Siniyah, near Baiji","manager of Baiji Fuel Station and driver in car","magnetic bomb attached to car","2","2","AKnews 12 Feb, XIN 12 Feb"
"k18456","12 Feb 2012","12 Feb 2012","PM","Mansuriya","son of Abdul-Amir Zaidi, Diyala Operations Command Chief","police gunfire","1","1","AKnews 13 Feb, Al-Shar 13 Feb"
"k18444","10 Feb 2012","11 Feb 2012","-","Khan Bani Saad","teacher near home","gunfire","1","1","REU 11 Feb"
"k18448","11 Feb 2012","11 Feb 2012","-","between Kirkuk and Riyadh","electricity office staff, policeman killed","drive-by shooting","1","1","AKnews 11 Feb"
"k18447","11 Feb 2012","11 Feb 2012","PM","central Falluja","civilian car","magnetic bomb attached to car","1","2","CNN 11 Feb, AFP 12 Feb"
"k18446","11 Feb 2012","11 Feb 2012","-","al-Jazair, Basra","Kurdistan Exchange Office","gunfire","0","2","NINA 11 Feb"
"k18451","11 Feb 2012","11 Feb 2012","-","Mohammed al-Qassim Highway, Baghdad","Haidar Shamki, Interior Ministry employee/official, in car","drive-by shooting","1","1","CNN 11 Feb, AFP 12 Feb"
"k18452","11 Feb 2012","11 Feb 2012","9:00 PM","Amiriyat al-Fallujah","Sheikh Najim Abed Hafidh, Awakening Council leader, wife, brother and child in car","roadside bomb","4","4","CNN 11 Feb, AFP 12 Feb"
"k18445","10 Feb 2012","10 Feb 2012","-","Qura Zuba, Karmeh","Awakening Council member in car","magnetic bomb attached to car","1","1","VOI 10 Feb, NINA 10 Feb"
"k18439","9 Feb 2012","9 Feb 2012","-","al-Khabbaza, al-Riyadh, 40 km southwest of Kirkuk","police","gunfire","1","1","VOI 9 Feb"
"k18440","9 Feb 2012","9 Feb 2012","-","al-Shorah, south of Mosul","off-duty policeman","gunfire","1","1","NINA 9 Feb"
"k18441","9 Feb 2012","9 Feb 2012","-","Diwaniyah","civilian killed","-","1","1","NINA 9 Feb"
"k18442","9 Feb 2012","9 Feb 2012","-","Kalar, Sulaymaniyah","boy","gunfire","0","1","GaliKurdsat TV 9 Feb"
"k18443","4 Feb 2012","9 Feb 2012","-","Albu-Jwari, near Baiji","body of kidnapped Akram al-Daini, brother of Sunni MP Nahida al-Daini found shot","gunfire, executed","1","1","AKnews 9 Feb, XIN 9 Feb"
"k18449","9 Feb 2012","9 Feb 2012","-","Kalar, Sulaymaniyah","girl","electricity shock","0","1","Galikurdsat TV 9 Feb"
"k18450","4 Feb 2012","9 Feb 2012","-","Albu-Jwari, near Baiji","Israa Salman Mohammed, kidnapped woman journalist, found bound and shot","gunfire, executed","1","1","AKnews 9 Feb, XIN 9 Feb"
"k18436","8 Feb 2012","8 Feb 2012","-","north Kirkuk","body of man found shot dead","gunfire","1","1","REU 8 Feb"
"k18438","8 Feb 2012","8 Feb 2012","-","Abi Sayda, northeast of Baquba","farmer and relative","roadside bomb","0","1","AKnews 8 Feb"
"k18437","8 Feb 2012","8 Feb 2012","AM","Sa'diyah, Diyala","Sheikh Jabbar Hussein, chief of al-Asakira tribe and companions in car","magnetic bomb attached to car","1","1","VOI 8 Feb, XIN 8 Feb"
"k18433","7 Feb 2012","7 Feb 2012","-","Doura, south Baghdad","-","roadside bomb","1","1","REU 7 Feb"
"k18434","7 Feb 2012","7 Feb 2012","-","Abu Ghraib","home of army officer, wife killed","gunfire","1","1","REU 7 Feb, XIN 7 Feb"
"k18435","7 Feb 2012","7 Feb 2012","AM","al Salam Bridge, Baghdad Al Jadeeda","Sajida Salih Hasan, director of women's prison in Kadhimiya","gunfire","1","1","XIN 7 Feb, NINA 7 Feb"
"k18430","6 Feb 2012","6 Feb 2012","PM","Balad Ruz","'buildings housing displaced Kurds'","mortar rounds","1","1","REU 6 Feb, AKnews 7 Feb"
"k18431","6 Feb 2012","6 Feb 2012","-","al-Islah al-Ziraie, west Mosul","police and worshippers outside Abu Bakir al-Siddiq Mosque","gunfire","2","2","AKnews 6 Feb"
"k18432","6 Feb 2012","6 Feb 2012","PM","southern outskirts of Hilla","body of off-duty police officer found shot","gunfire","1","1","REU 7 Feb"
"k18429","5 Feb 2012","5 Feb 2012","-","central or east Baghdad","police Major Majid Walid, in car","drive-by shooting","1","1","AP 5 Feb, XIN 5 Feb"
"k18425","4 Feb 2012","4 Feb 2012","-","Qura Zawbaie, Falluja","house","bombs round house","1","1","AKnews 4 Feb"
"k18426","4 Feb 2012","4 Feb 2012","-","Uraibi, west Mosul","bodies of two men found shot dead","gunfire","2","2","REU 4 Feb"
"k18427","4 Feb 2012","4 Feb 2012","-","central Baquba","Awakening Council member in car","magnetic bomb attached to car","1","1","REU 4 Feb"
"k18428","4 Feb 2012","4 Feb 2012","AM","Aladheim, north of Baquba","Awakening Council member","roadside bomb","1","1","NINA 4 Feb"
"k18423","3 Feb 2012","3 Feb 2012","-","Jazaer, east Mosul","Kurdish man near home","gunfire","1","1","AKnews 3 Feb"
"k18424","3 Feb 2012","3 Feb 2012","-","Matahin, west Mosul","man near home","gunfire","1","1","NINA 3 Feb"
